Facility_name,Person_running_it,Job_title,Phone,Url,Facility_type,Number_of_bads
Clarkston Health and Rehabilitation of Cascadia,Andrew (Drew) Schiller,Administrator,509-758-2523,http://www.cascadiahc.com,Skilled Nursing Facility, 90
Heritage Heights at Lake Chelan,Deseria Bare,Executive Director,509-682-1998,http://www.heritageheights.org,Assisted Living Facility, 32
Woodland Village,Tammy Jones,"Executive Director, Health Services Manager",360-748-0095,http://www.villageconcepts.com,Assisted Living Facility, 40
Chehalis West Assisted Living,Nikki Storms,Executive Director,360-748-9911,http://www.chehaliswest.com,Assisted Living Facility, 66
Three Rivers Care,,,360-736-2823,http://www.calderacare.com,Skilled Nursing Facility, 91
Stillwaters Colonial Residence,Robin Ellis,Administrator,360-736-1551,http://www.colonialresidence.com,Assisted Living Facility, 70
Sharon Care Center,Terry Myers,Administrator,360-736-0112,http://www.sharoncare.com,Skilled Nursing Facility, 42
Sharon Care Assisted Living,Jymmie Reed,Executive Director,360-736-0112,http://www.sharoncare.com,Assisted Living Facility, 72
Prestige Post-Acute and Rehab-Centralia,Rebecca Christiansen,Administrator/DNS,360-736-9384,http://www.prestigecare.com,Skilled Nursing Facility, 128
Centralia Point Assisted Living and Memory Care,Bryce Bower,Executive Director,360-330-2010,http://www.centraliapointalmc.com,Assisted Living Facility, 59
The Villager,V. Nori Murray,Assistant Administrator,360-274-7944,,Assisted Living Facility, 35
Epledalen Retirement & Assisted Living,Chuck Dronen,Administrator,509-782-7600,http://www.kashmircc.com,Assisted Living Facility, 39
Epledalen Retirement & Assisted Living,Andrew Dronen,Executive Director,509-782-7600,http://www.kashmircc.com,Assisted Living Facility, 39
Cashmere Care Center,Paul Foltz,Administrator,509-782-1251,http://www.cashmerecarecenter.com,Skilled Nursing Facility, 85
Trustwell Living at Kent Place,Lynn Fontaine,DNS,360-834-3988,https://www.trustwellliving.com/senior-living/wa/camas/kent-place/,Assisted Living Facility, 42
Prestige Care & Rehabilitation-Camas,Blake Epp,Administrator,360-834-5055,http://www.prestigecare.com,Skilled Nursing Facility, 83
Where the Heart Is,Terry Sigmond,Executive Director,360-755-8007,http://www.frontiermgmt.com,Assisted Living Facility, 84
Home Place Special Care at Burlington,Wendy Martin,Administrator,360-755-7000,http://www.homeplaceburlington.com,Assisted Living Facility, 46
"Ovenell Home LTC, Inc.",John Zimmermann,Administrator,360-755-9100,,Assisted Living Facility, 31
Home Place Respite,,,360-755-7000,http://www.homeplaceburlington.com,Assisted Living Facility, 16
Creekside Continuing Care Community,Melissa Snodgrass-Wold,Associate Executive Director,360-755-5550,http://www.cascadeliving.com,Assisted Living Facility, 101
Merrill Gardens of Burien,Sarah Kiepe,General Manager,206-452-2216,,Assisted Living Facility, 60
El Dorado West Retirement,Laura Nencetti,Executive Director,206-248-1975,http://www.villageconcepts.com,Assisted Living Facility, 80
Avamere Rehabilitation of Burien,Addison Shepard,Assistant Administrator,206-242-3213,https://avamereburien.com/,Skilled Nursing Facility, 140
Regency Harmony House,Wendy Hernandez,AIT,509-689-2546,http://www.harmonyhousehcc.com,Skilled Nursing Facility, 54
The Cottage of Bremerton,Amber Olomon,Executive Director,360-476-8552,http://www.cascadeliving.com,Assisted Living Facility, 43
Heritage House at Mountain View,Kelley McGhee-Arsanto,Assistant Administrator,360-829-5292,http://www.caringplaces.com,Assisted Living Facility, 85
Stafford Healthcare at Belmont,Robert Washbond,Administrator,360-479-1515,http://www.belmontterrace.com,Skilled Nursing Facility, 102
Marine Courte Memory Care Community,Haley Fitzgerald-Parpart,Administrator,360-373-8551,http://www.frontiermanagement.com,Assisted Living Facility, 32
Laurel Glen at Bremerton,Alicia Austin,Executive Director,360-377-1717,http://www.frontiermgmt.com,Assisted Living Facility, 88
Emerald Bay Care,Monique Mason,Administrator,360-479-4747,http://calderacare.com,Skilled Nursing Facility, 98
Bridgeview Care,Kasey Bradburn,Administrator,360-377-3951,http://www.calderacare.com,Skilled Nursing Facility, 125
Bay Pointe Retirement and Assisted Living,Jennifer Zeh,Administrator,360-373-9904,http://www.frontiermanagement.com,Assisted Living Facility, 75
Ashley Gardens of Bremerton,Amber Olomon,Executive Director,360-479-8552,http://www.cascadesofbremerton.com,Assisted Living Facility, 40
Riverside East,Betsy Frankie,Executive Director,425-481-1976,http://www.villageconcepts.com,Assisted Living Facility, 44
North Creek Retirement & Assisted Living,Loreal Russell,Executive Director,425-483-8927,http://www.bonventursenior.com,Assisted Living Facility, 102
Longhouse Bothell,,,425-362-5529,http://www.longhouse.com,Assisted Living Facility, 15
Cogir of Bothell,Jennifer Sawtelle,Executive Director,425-487-3245,http://www.cogirseniorliving.com,Assisted Living Facility, 64
Chateau at Bothell Landing,Derek Larson,Executive Director,425-485-1155,http://www.chateaullc.com,Assisted Living Facility, 142
Bothell Health Care,Julie Bingman,Administrator,425-481-8500,http://www.bothellhealthcare.com,Skilled Nursing Facility, 99
Cedar Ridge Retirement & Assisted Living Community,Travis McDaniel,Executive Director,253-299-6461,http://www.bonaventuresenior.com,Assisted Living Facility, 70
Stafholt Health and Rehabilitation,Skyler Schmitt,CEO,360-922-3098,https://stafholthealthandrehabofcascadia.com/,Skilled Nursing Facility, 57
Summit Place at Mt. Baker,Jozef  Bosman,Executive Director,360-738-8447,http://www.summitplaceassistedliving.com,Assisted Living Facility, 47
The Bellingham at Orchard,Adam Parker,Executive Director,360-715-1338,http://www.thebellinghamatorchard.com,Assisted Living Facility, 76
Spring Creek Retirement & Assisted Living,Todd Margeson,Executive Director,360-756-2301,,Assisted Living Facility, 122
Shuksan Healthcare Center,Erica Curtis,Administrator,360-733-9161,http://www.shuksanhealthcare.com,Skilled Nursing Facility, 52
Rosewood Villa,Amy Stroud,Interim Executive Director,360-676-9193,,Assisted Living Facility, 70
Sapphire at Woodway,Amy Clapp,Executive Director,360-647-1095,http://www.woodwayseniorliving.com,Assisted Living Facility, 72
Orchard Park Retirement,Ruth Gollen,Administrator,360-647-3708,,Assisted Living Facility, 96
North Cascade Health and Rehabilitation Center,Kody Giltner,Administrator,360-398-1966,http://www.empres.com,Skilled Nursing Facility, 122
Mt. Baker Care Center,Catherine Reis-Elbara,Administrator,360-734-4181,http://www.mtbakercarecenter.com,Skilled Nursing Facility, 70
Lake Whatcom Residential Center Agate Heights,Jenny Billings,Administrator,360-676-7530,http://www.lwrtc.org,Assisted Living Facility, 67
Lake Whatcom Center Alabama ALF,,,360-676-6000,,Assisted Living Facility, 12
Highland Health and Rehabilitation of Cascadia,Nathan Hill,Administrator,360-734-4800,http://www.cascadiahc.com,Skilled Nursing Facility, 44
Highgate Senior Living – Bellingham,Keith Richstad,Executive Director,360-671-1459,http://www.highgateseniorliving.com,Assisted Living Facility, 77
Cordata Court,Pat White,Executive Director,360-715-8822,http://www.pegasus,Assisted Living Facility, 115
Brookdale Fairhaven,Jessica Dugger,Executive Director,360-647-1254,http://www.brookdale.com,Assisted Living Facility, 60
AvilaCare Bellingham,Denise Irey,Executive Director,360-671-3631,,Assisted Living Facility, 35
Avamere St. Francis of Bellingham,Melissa Nelson,Administrator,360-734-6760,http://www.stfrancisofbellingham.com,Skilled Nursing Facility, 105
Alderwood Park Health and Rehabilitation of Cascadia,Eric Moffitt,Administrator,360-733-2322,http://www.cascadiahc.com,Skilled Nursing Facility, 102
The Watermark at Bellevue,Brenda Ritter,Managing Director,425-504-8001,,Assisted Living Facility, 140
The Gardens at Town Square,Deborah Montelaro,Executive Director,425-688-1900,http://www.eraliving.com,Assisted Living Facility, 80
The Bellettini,Brian Prouty,Executive Director,425-450-0800,http://www.thebellettini.com,Assisted Living Facility, 60
Sunrise of Redmond,Ashley Hineline,Executive Director,425-401-0300,http://www.redmondseniorliving.com,Assisted Living Facility, 120
Sunrise of Bellevue,Molly Clark,Executive Director,425-401-5152,http://www.sunriseseniorliving.com,Assisted Living Facility, 90
Patriots Glen,Jordan Drew,Executive Director,425-373-1161,http://www.patriotsglen.com,Assisted Living Facility, 82
Sagebrook Senior Living at Bellevue,Wendy Martin,Executive Director,425-641-4900,http://www.sagebrookbellevue.com,Assisted Living Facility, 108
Mission Healthcare at Bellevue,Tara Travers,Executive Director,425-897-8800,http://missionhealthcare.com,Skilled Nursing Facility, 69
Halcyon Group Home,Cheryl Jordan,Administrator,425-644-4344,http://www.hhftd.org,Assisted Living Facility, 8
Aegis of Bellevue,Hermann Schaefer,General Manager,425-453-8100,http://www.aegisliving.com,Assisted Living Facility, 101
Champion House,Cheryl Jordan,Executive Director,425-644-4344,,Assisted Living Facility, 8
Aegis Living Bellevue at Overlake,Maddie Williams,,425-223-3454,http://www.aegisliving.com,Assisted Living Facility, 160
Mallard Landing Assisted Living,Andrea Pineda,Executive Director,360-687-0123,http://www.seniorlifestyle.com,Assisted Living Facility, 85
Creekside Place,Amanda Gogas-Delaware,Executive Director,360-666-8588,http://www.caringplaces.com,Assisted Living Facility, 40
Brookfield Health and Rehabilitation of Cascadia,Josh Clark,Administrator,360-687-5141,http://www.brookfieldhealthandrehab.com,Skilled Nursing Facility, 83
Wyatt House Retirement Center,Cassie Rapoza,Executive Director,206-780-3646,http://www.bainbridgeseniorliving.com,Assisted Living Facility, 32
Madison Avenue Retirement Center,Kori Duncan,Executive Director,206-842-3694,http://www.bainbridgeseniorliving.com,Assisted Living Facility, 30
Madrona House,,,206-317-6000,http://www.bainbridgeseniorliving.com,Assisted Living Facility, 70
Fieldstone Memory Care Bainbridge,Rebekah Causey,Executive Director,206-594-1010,,Assisted Living Facility, 39
Parkside Retirement Community,Thomas Gallucci,Executive Director,253-939-1332,http://www.parksideretirement.com,Assisted Living Facility, 94
Bainbridge Island Health & Rehab Center,Adam Canary,Administrator/LN,206-842-4765,http://www.islandskillednursing.com,Skilled Nursing Facility, 58
Prestige Senior Living Auburn Meadows,Ashley Ziegelbauer,Executive Director,253-333-0171,http://www.prestigecare.com,Assisted Living Facility, 110
North Auburn Rehab & Health Center,Patrick Johnson,Administrator,253-561-8100,http://calderacare.com,Skilled Nursing Facility, 125
